        成员名称                 阶级      火炉等级    战力           周功勋         总功勋         周捐献
1       农家丶典庆               5         宫阙2级     165861876      128807178      322060390      29040
2       丸子君                   4         宫阙3级     180571327      124035638      407153886      26640
3       山野村夫                 4         宫阙3级     196763014      283252198      563968014      60000
4       如梦亦如幻               4         宫阙3级     246886318      395828492      722549354      29040
5       小橘猫                   4         宫阙2级     132052268      142961904      428618564      31920
6       晚安不是结束             4         宫阙3级     198739104      280033910      450913658      64320
7       大水怪                   4         宫阙3级     196943858      184587250      570478822      61440
8       小火龙的爸爸             4         宫阙3级     218690334      494428396      1036112924     60720
9       最后一位人皇             3         宫阙3级     170394191      57986280       235802522      51120
10      好运都是我的             3         宫阙3级     204344976      29058556       442568174      54240
11      合金辰                   3         宫阙3级     244748034      297827652      460403222      56160
12      足疗纳入医保             3         宫阙3级     188058401      273607872      496230464      51840
13      相惜丶                   3         宫阙3级     166789211      49971744       112174904      19680
14      对我好就行               3         宫阙3级     230403647      280122230      385356094      58080
15      朝看天色暮看云           3         宫阙3级     203805957      209719976      403167432      54960
16      辉利贷                   3         宫阙3级     165271015      43645464       181404706      45360
17      鞅鞅鞅                   3         宫阙3级     252087863      70351774       92140666       29520
18      墨染青笺                 3         宫阙3级     217736934      731269244      1317456616     54000
19      午后小小法               3         宫阙3级     203989732      99144940       357034788      19680
20      初遇见                   3         宫阙3级     219436679      83087728       206520916      44880
21      千秋丨李先森             3         宫阙3级     153014859      308651690      371941848      56880
22      以战止战丶烟             3         宫阙3级     210835584      161612654      390779366      52080
23      好好睡觉                 3         宫阙3级     212480078      120135424      376423492      69840
24      五月落霞                 3         宫阙3级     209720062      336727692      884240756      67440
25      烟火陌巷                 3         宫阙3级     179769148      14525488       14525488       35520
26      尿分叉                   3         宫阙3级     170359672      428988358      640015886      63120
27      我是好人                 3         宫阙3级     173555128      61152080       140815496      39120
28      打打打打打               3         宫阙3级     180626966      0              76923370       29280
29      是潼潼吖                 3         宫阙3级     185415776      121731276      483765574      0
30      古巨龟                   3         宫阙3级     205612046      51230956       170505706      44640
31      往事不重提               3         宫阙3级     203770676      0              286680640      42720
32      云水无心                 3         宫阙3级     152816086      553767264      1133526418     55200
33      以战止战丶上上策         3         宫阙3级     193787451      0              5468613294     0
34      沧海遗珠                 3         宫阙3级     205403130      358141324      1004806380     53520
35      一杯冰咖啡               3         宫阙3级     179676309      216786086      455840230      61200
36      蒲公英                   3         宫阙3级     199739689      206259636      903879130      52080
37      在夏天开放               3         宫阙3级     159957206      37292986       37292986       33360
38      故事里的007              3         宫阙3级     177808889      14527008       77870604       25440
39      风中追风                 3         宫阙3级     171278833      0              41561744       39120
40      搞笑啊                   3         宫阙3级     175733501      11623780       11623780       40560
41      大光子                   3         宫阙3级     167174007      456282192      674605456      60240
42      有缘再见                 3         宫阙3级     222579697      0              3039360        38640
43      墨染丶靓仔               3         宫阙3级     186517478      0              0              29760
44      小甜樱子                 3         宫阙3级     151732230      0              0              37440
45      以战止战丶静静           3         宫阙3级     116422090      0              0              0
46      好运鏋满                 3         宫阙3级     194502089      317501882      440561124      51600
47      蓝色的鱼                 3         宫阙3级     185603547      203945214      506566622      40320
48      天明丶                   3         宫阙3级     187952168      334388580      768959516      54960
49      斧头帮的斧头柄           3         宫阙3级     193883007      314455358      458569008      60240
50      妖言惑众丶               3         宫阙3级     184776439      251139910      624719966      46560
51      滴滴答答                 3         宫阙3级     177443594      246801642      375663766      41040
52      几时欢                   3         宫阙3级     192545837      422269422      490850382      39600
53      枕星河                   3         宫阙3级     157426074      97212956       136329606      44880
54      好运多多                 3         宫阙3级     179106757      190913186      237567446      37440
55      好运漫漫                 3         宫阙3级     195962647      175697436      474186230      0
56      好运年年                 3         宫阙3级     194892330      394892836      724088616      52560
57      麦芋头                   3         宫阙3级     192175023      0              0              0
58      西格玛男人               3         宫阙3级     199743547      251940162      671210472      50400
59      一缕清风                 3         宫阙3级     187667141      660788564      1058208802     52080
